Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
OSCR,OSCAR HEALTH INC CLASS A,Financials,Equity,74935311,0.1,74935311,5430095,13.8,United States,New York Stock Exchange Inc.,USD,1,USD,-
PFSI,PENNYMAC FINANCIAL SERVICES INC,Financials,Equity,74913562.01,0.1,74913562.01,733943,102.07,United States,New York Stock Exchange Inc.,USD,1,USD,-
IRTC,IRHYTHM TECHNOLOGIES INC,Health Care,Equity,74902533.6,0.1,74902533.6,843497,88.8,United States,NASDAQ,USD,1,USD,-
HCC,WARRIOR MET COAL INC,Materials,Equity,74857022.15,0.1,74857022.15,1395805,53.63,United States,New York Stock Exchange Inc.,USD,1,USD,-
IOSP,INNOSPEC INC,Materials,Equity,74213575.7,0.1,74213575.7,670645,110.66,United States,NASDAQ,USD,1,USD,-
SATS,ECHOSTAR CORP CLASS A,Communication,Equity,74146399.75,0.1,74146399.75,3285175,22.57,United States,NASDAQ,USD,1,USD,-
PATK,PATRICK INDUSTRIES INC,Consumer Discretionary,Equity,74113932,0.1,74113932,887592,83.5,United States,NASDAQ,USD,1,USD,-
SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Financials,Equity,73608272.25,0.1,73608272.25,3293435,22.35,United States,NASDAQ,USD,1,USD,-
FCPT,FOUR CORNERS PROPERTY INC TRUST,Real Estate,Equity,73545604.65,0.1,73545604.65,2679257,27.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
HTLF,HEARTLAND FINANCIAL USA INC,Financials,Equity,73498815.18,0.1,73498815.18,1190457,61.74,United States,NASDAQ,USD,1,USD,-
PLMR,PALOMAR HOLDINGS INC,Financials,Equity,73238458.15,0.1,73238458.15,701585,104.39,United States,NASDAQ,USD,1,USD,-
NEOG,NEOGEN CORP,Health Care,Equity,73102222.16,0.1,73102222.16,5881112,12.43,United States,NASDAQ,USD,1,USD,-
GFF,GRIFFON CORP,Industrials,Equity,73029777,0.1,73029777,1016420,71.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
OSIS,OSI SYSTEMS INC,Information Technology,Equity,72915764.95,0.1,72915764.95,425537,171.35,United States,NASDAQ,USD,1,USD,-
HUBG,HUB GROUP INC CLASS A,Industrials,Equity,72870591.43,0.1,72870591.43,1648283,44.21,United States,NASDAQ,USD,1,USD,-
RGTI,RIGETTI COMPUTING INC,Information Technology,Equity,72572339.28,0.1,72572339.28,4248966,17.08,United States,NASDAQ,USD,1,USD,-
FIBK,FIRST INTERSTATE BANCSYSTEM INC,Financials,Equity,72114035.31,0.1,72114035.31,2226429,32.39,United States,NASDAQ,USD,1,USD,-
